org_pac_id,org_name,n_mddo,state,is_kaiser,ratio_fnb,ratio_non
0840104253,SPORTS AND ORTHOPEDIC REHABILITATION SERVICES INC,139,FL,false,1.021,1.0674
0840104360,ALLIANCE PHYSICIANS INC,153,OH,false,0.6339,0.3034
0840107835,APPALACHIAN REGIONAL HEALTHCARE INC,125,KY,false,1.102,0.9797
0840289468,TRAVIS COUNTY EMERGENCY PHYSICIANS PA,167,TX,false,1.1752,1.1891
0840291944,NORTH ATLANTA PROFESSIONAL SERVICES LLC,240,GA,false,0.9322,0.3456
0840513552,INTERMOUNTAIN MEDICAL GROUP DENVER LLC,250,CO,false,1.0685,1.0679
0840548624,PROVIDENCE SAINT JOHNS MEDICAL FOUNDATION,169,CA,false,1.3202,1.2094
0941103683,LANCASTER GENERAL MEDICAL GROUP,240,PA,false,0.8316,0.7778
0941106645,CEDARS-SINAI MEDICAL CARE FOUNDATION,772,CA,false,1.0936,1.1348
0941110886,PORTERCARE ADVENTIST HEALTH SYSTEM,367,CO,false,1.1114,1.0912
0941112346,"SINAI HOSPITAL OF BALTIMORE, INC",153,MD,false,1.2723,1.1626
0941113567,TRINITY HEALTH OF NEW ENGLAND PROVIDER NETWORK ORGANIZATION INC,243,CT,false,1.1513,1.1041
0941333280,SETON FAMILY OF DOCTORS,385,TX,false,0.9859,0.9657
0941377360,POLINSKY MEDICAL REHABILITATION CENTER,127,MN,false,0.8576,1.0791
0941525273,UNIVERSITY OF UTAH ADULT SERVICES,751,UT,false,0.9125,1.0476
0941612840,"RWJBH EMERGENCY MEDICINE ASSOCIATES, LLC",403,NJ,false,1.274,1.0051
1052217478,ST LUKES CLINIC LLC,118,ID,false,1.0378,0.8284
1052224565,WEST VIRGINIA UNIVERSITY MEDICAL CORPORATION,719,WV,false,0.9342,1.1014
1052225042,"INFINITE HEALTH COLLABORATIVE, PA",172,MN,false,1.1361,0.8815
1153216411,MEDICAL FOUNDATION OF CENTRAL MISSISSIPPI INC,130,MS,false,1.0432,0.9448
1153227814,FACULTY PHYSICIANS AND SURGEONS OF LLUSM,602,CA,false,1.0808,1.1599
1153234893,"NOVANT HEALTH MEDICAL GROUP, LLC",1035,NC,false,1.0918,0.9529
1153235296,BENEFIS HOSPITALS INC,153,MT,false,1.1554,0.9679
1153235825,UNIVERSITY HEALTH PHYSICIANS,212,MO,false,0.8574,0.7508
1153456579,ADENA MEDICAL GROUP LLC,138,OH,false,1.0864,1.2384
1153468921,MERCY CLINIC OKLAHOMA COMMUNITIES,337,OK,false,1.1093,1.1076
1153573902,HARTFORD HEALTHCARE MEDICAL GROUP INC,124,CT,false,1.038,0.475
1153780226,ERLANGER HEALTH,202,TN,false,1.1232,1.0547
1254233836,NORTHEAST MEDICAL GROUP INC,597,CT,false,0.7563,0.7767
1254238090,HALIFAX HEALTHCARE SYSTEMS INC,150,FL,false,1.1943,0.8834
1254238454,COLORADO PERMANENTE MEDICAL GROUP PC,811,CO,true,0.556,0.422
1254240039,LANCASTER GENERAL HOSPITAL,150,PA,false,0.9483,0.8079
1254243306,BEACON MEDICAL GROUP INC,259,IN,false,1.0459,1.3399
1254244239,MCFARLAND CLINIC PC,142,IA,false,0.9509,1.0472
1254244973,COUNTY OF SANTA CLARA,505,CA,false,0.7927,0.7361
1254245715,MAINEGENERAL MEDICAL CENTER,212,ME,false,1.0458,1.0551
1254248917,LESTER E COX MEDICAL CENTERS,135,MO,false,1.007,1.0109
1254317001,"BATON ROUGE CLINIC, A MEDICAL CORPORATION",137,LA,false,0.9918,0.8409
1355232422,NEW YORK UNIVERSITY,2379,NY,false,1.0373,1.0476
1355240177,SMH PHYSICIAN SERVICES INC,240,FL,false,0.9858,0.9431
1355246950,PROHEALTH PHYSICIANS PC,108,CT,false,0.5456,0.4063
1355248584,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,1179,CA,false,0.8933,0.9877
1355251604,ALTRU HEALTH SYSTEM,192,ND,false,0.9294,0.9365
1355254210,HEALTHTEXAS PROVIDER NETWORK,1297,TX,false,1.0819,0.9607
1355302134,TORRANCE HEALTH ASSOCIATION INC,209,CA,false,1.3058,1.0775
